Artwork,Artist,Contemporary Art,Artwork date,Censorship year,Social,Kind of censorship,Link,Date of publication,Typology,Google Rank,,,,,,,,,,,,,,,,,,,,,,
Autocorpo,Marco Grassi,Yes,2013,Unknown,Facebook,Suspended account,https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana,17 may 2018,Social platform,97,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana,17 may 2018,Social platform,97,,,,,,,,,,,,,,,,,,,,,,
The napalm girl ,Nick Ut,Yes,1972,2016,Facebook,Removed post,https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana,17 may 2018,Social platform,97,,,,,,,,,,,,,,,,,,,,,,
A Model (Against a Blue Background),Natalia Goncharova,No,1910,2019,Instagram,Blocked Advertising,https://www.art-critique.com/en/2019/09/palazzo-strozzi-recently-censored-by-instagram/,17 sep 2019,Art newspaper,98,,,,,,,,,,,,,,,,,,,,,,
Glitterotica,Shelby Sells,Yes,2016,2016,Instagram,Deleted account,https://www.metrotimes.com/detroit/why-artist-shelby-sells-cant-stop-getting-censored/Content?oid=2392616,27 jan 2016,Newspaper,99,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
Ema (nude on a staircase),Gerhard Richter,Yes,1966,2012,Facebook,Removed post,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
The napalm girl ,Nick Ut,Yes,1972,2016,Facebook,Removed post,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
Venus of Willendorf,Unknown,No,23.000-19.000 a. C.,2018,Facebook,Removed post,https://news.artnet.com/market/gray-market-facebook-art-censorship-1235822,5 Mar 2018,Media art company ,100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
